account_id,division,event_month,movement_type,arr_change,fiscal_quarter
5299,ActiveDisclosure,2026-02-01,Expansion,8357.621540234079,FY2026-Q1
5031,ActiveDisclosure,2025-02-01,New,50048.4191249565,FY2025-Q1
5031,ActiveDisclosure,2026-02-01,Renewal,0.0,FY2026-Q1
5414,ActiveDisclosure,2025-02-01,New,57073.769316978316,FY2025-Q1
5414,ActiveDisclosure,2026-02-01,Renewal,0.0,FY2026-Q1
5133,ActiveDisclosure,2025-03-01,New,91896.96239274902,FY2025-Q1
5133,ActiveDisclosure,2026-03-01,Renewal,0.0,FY2026-Q1
5041,ActiveDisclosure,2025-03-01,New,46557.14391308051,FY2025-Q1
5041,ActiveDisclosure,2026-03-01,Renewal,0.0,FY2026-Q1
5359,ActiveDisclosure,2025-03-01,New,61793.01200596715,FY2025-Q1
5359,ActiveDisclosure,2026-03-01,Contraction,-8430.092118292028,FY2026-Q1
5096,ActiveDisclosure,2025-03-01,New,65421.28870137014,FY2025-Q1
5096,ActiveDisclosure,2026-03-01,Renewal,0.0,FY2026-Q1
5474,ActiveDisclosure,2025-03-01,New,76328.03985993797,FY2025-Q1
5474,ActiveDisclosure,2026-03-01,Renewal,0.0,FY2026-Q1
5316,ActiveDisclosure,2025-03-01,New,84108.28223792202,FY2025-Q1
5316,ActiveDisclosure,2026-03-01,Expansion,10590.061250210838,FY2026-Q1
5389,ActiveDisclosure,2025-03-01,New,65721.43723842924,FY2025-Q1
5389,ActiveDisclosure,2026-03-01,Renewal,0.0,FY2026-Q1
5156,ActiveDisclosure,2025-03-01,New,41628.46183653599,FY2025-Q1
5156,ActiveDisclosure,2026-03-01,Renewal,0.0,FY2026-Q1
5467,ActiveDisclosure,2025-03-01,New,90220.78267814382,FY2025-Q1
5467,ActiveDisclosure,2026-03-01,Expansion,19805.970715754487,FY2026-Q1
5391,ActiveDisclosure,2025-04-01,New,131257.92725723292,FY2025-Q2
5391,ActiveDisclosure,2026-04-01,Expansion,14556.414960886155,FY2026-Q2
5354,ActiveDisclosure,2025-04-01,New,86046.87815952805,FY2025-Q2
5354,ActiveDisclosure,2026-04-01,Renewal,0.0,FY2026-Q2
5109,ActiveDisclosure,2025-04-01,New,80333.45313055902,FY2025-Q2
5109,ActiveDisclosure,2026-04-01,Renewal,0.0,FY2026-Q2
5094,ActiveDisclosure,2025-04-01,New,59735.871615162934,FY2025-Q2
5094,ActiveDisclosure,2026-04-01,Renewal,0.0,FY2026-Q2
5362,ActiveDisclosure,2025-04-01,New,62453.70542990214,FY2025-Q2
5362,ActiveDisclosure,2026-04-01,Renewal,0.0,FY2026-Q2
5310,ActiveDisclosure,2025-04-01,New,37428.50416222082,FY2025-Q2
5310,ActiveDisclosure,2026-04-01,Renewal,0.0,FY2026-Q2
5258,ActiveDisclosure,2025-04-01,New,81581.31009078457,FY2025-Q2
5258,ActiveDisclosure,2026-04-01,Expansion,8631.984950103531,FY2026-Q2
5369,ActiveDisclosure,2025-04-01,New,65012.684949127884,FY2025-Q2
5369,ActiveDisclosure,2026-04-01,Renewal,0.0,FY2026-Q2
5274,ActiveDisclosure,2025-04-01,New,96333.90904903415,FY2025-Q2
5274,ActiveDisclosure,2026-04-01,Expansion,8532.558778336219,FY2026-Q2
5233,ActiveDisclosure,2025-04-01,New,45186.123257762665,FY2025-Q2
5233,ActiveDisclosure,2026-04-01,Contraction,-7582.098578812459,FY2026-Q2
5036,ActiveDisclosure,2025-04-01,New,98015.30702819492,FY2025-Q2
5036,ActiveDisclosure,2026-04-01,Contraction,-7564.217152726687,FY2026-Q2
5210,ActiveDisclosure,2025-04-01,New,61180.953994493735,FY2025-Q2
5210,ActiveDisclosure,2026-04-01,Renewal,0.0,FY2026-Q2
5147,ActiveDisclosure,2025-05-01,New,54555.42338362696,FY2025-Q2
5147,ActiveDisclosure,2026-05-01,Contraction,-6348.187914135244,FY2026-Q2
5232,ActiveDisclosure,2025-05-01,New,57371.672891562404,FY2025-Q2
5232,ActiveDisclosure,2026-05-01,Renewal,0.0,FY2026-Q2
5325,ActiveDisclosure,2025-05-01,New,54602.35887345123,FY2025-Q2
5325,ActiveDisclosure,2025-09-01,Churn,-54602.35887345123,FY2025-Q3
5220,ActiveDisclosure,2025-05-01,New,22056.62345176418,FY2025-Q2
5220,ActiveDisclosure,2026-05-01,Expansion,8660.446819617868,FY2026-Q2
5030,ActiveDisclosure,2025-05-01,New,82065.08395927766,FY2025-Q2
5030,ActiveDisclosure,2026-05-01,Renewal,0.0,FY2026-Q2
5007,ActiveDisclosure,2025-06-01,New,85034.68695868758,FY2025-Q2
5007,ActiveDisclosure,2026-06-01,Renewal,0.0,FY2026-Q2
5278,ActiveDisclosure,2025-06-01,New,96128.52681927786,FY2025-Q2
5278,ActiveDisclosure,2026-06-01,Renewal,0.0,FY2026-Q2
5080,ActiveDisclosure,2025-06-01,New,83516.07242557408,FY2025-Q2
5080,ActiveDisclosure,2026-06-01,Renewal,0.0,FY2026-Q2
5402,ActiveDisclosure,2025-07-01,New,82431.50237825596,FY2025-Q3
5327,ActiveDisclosure,2025-07-01,New,31072.955213468274,FY2025-Q3
5426,ActiveDisclosure,2025-08-01,New,72028.41708510568,FY2025-Q3
5084,ActiveDisclosure,2025-08-01,New,43069.070059011145,FY2025-Q3
5143,ActiveDisclosure,2025-08-01,New,61860.11435820616,FY2025-Q3
5336,ActiveDisclosure,2025-09-01,New,98725.63778196799,FY2025-Q3
5268,ActiveDisclosure,2025-09-01,New,68708.82774755101,FY2025-Q3
5361,ActiveDisclosure,2025-09-01,New,20000.0,FY2025-Q3
5473,ActiveDisclosure,2025-09-01,New,45965.29213572412,FY2025-Q3
5477,ActiveDisclosure,2025-11-01,New,55514.757859590354,FY2025-Q4
5018,ActiveDisclosure,2025-11-01,New,63035.52336888065,FY2025-Q4
5144,ActiveDisclosure,2025-11-01,New,88636.52371666826,FY2025-Q4
5435,ActiveDisclosure,2025-11-01,New,86409.25077046956,FY2025-Q4
5081,ActiveDisclosure,2025-11-01,New,85867.26645704135,FY2025-Q4
5446,ActiveDisclosure,2025-12-01,New,73110.75340902134,FY2025-Q4
5387,ActiveDisclosure,2025-12-01,New,61507.63119029044,FY2025-Q4
5159,ActiveDisclosure,2025-12-01,New,60043.12790140339,FY2025-Q4
5168,ActiveDisclosure,2025-12-01,New,77506.53164205045,FY2025-Q4
5135,ActiveDisclosure,2025-12-01,New,88547.08804576535,FY2025-Q4
5452,ActiveDisclosure,2025-12-01,New,102157.9448476326,FY2025-Q4
5092,ActiveDisclosure,2026-01-01,New,70059.71496410602,FY2026-Q1
5301,ActiveDisclosure,2026-01-01,New,74486.16826932534,FY2026-Q1
5392,ActiveDisclosure,2026-01-01,New,100679.47690184772,FY2026-Q1
5034,ActiveDisclosure,2026-01-01,New,44088.5266304362,FY2026-Q1
5184,ActiveDisclosure,2026-01-01,New,86065.58188696067,FY2026-Q1
5355,ActiveDisclosure,2026-02-01,New,50665.11755774307,FY2026-Q1
5337,ActiveDisclosure,2026-02-01,New,103063.85634554086,FY2026-Q1
5318,ActiveDisclosure,2026-02-01,New,98929.89597994651,FY2026-Q1
5212,ActiveDisclosure,2026-02-01,New,104184.64448409411,FY2026-Q1
5449,ActiveDisclosure,2026-02-01,New,101915.17155547274,FY2026-Q1
5008,ActiveDisclosure,2026-02-01,New,86493.36802506688,FY2026-Q1
5010,ActiveDisclosure,2026-02-01,New,45491.92323419961,FY2026-Q1
5042,ActiveDisclosure,2026-02-01,New,78884.99064259084,FY2026-Q1
5420,ActiveDisclosure,2026-03-01,New,87706.11715366605,FY2026-Q1
5255,ActiveDisclosure,2026-03-01,New,78501.74430004793,FY2026-Q1
5240,ActiveDisclosure,2026-03-01,New,65480.328498884985,FY2026-Q1
5228,ActiveDisclosure,2026-03-01,New,71451.74351271865,FY2026-Q1
5305,ActiveDisclosure,2026-03-01,New,76527.12664836689,FY2026-Q1
5153,ActiveDisclosure,2026-03-01,New,45423.01519239032,FY2026-Q1
5340,ActiveDisclosure,2026-03-01,New,82941.14382245752,FY2026-Q1
5295,ActiveDisclosure,2026-04-01,New,80208.02817629516,FY2026-Q2
5451,ActiveDisclosure,2026-04-01,New,65102.22762832832,FY2026-Q2
5349,ActiveDisclosure,2026-04-01,New,82693.67417619572,FY2026-Q2
5071,ActiveDisclosure,2026-04-01,New,93600.07400897688,FY2026-Q2
5285,ActiveDisclosure,2026-04-01,New,45633.32106945201,FY2026-Q2
5078,ActiveDisclosure,2026-04-01,New,100354.70322899532,FY2026-Q2
5126,ActiveDisclosure,2026-04-01,New,90359.06475132458,FY2026-Q2
5019,ActiveDisclosure,2026-04-01,New,90134.42861612834,FY2026-Q2
5152,ActiveDisclosure,2026-05-01,New,89941.31384206313,FY2026-Q2
5125,ActiveDisclosure,2026-05-01,New,83717.28361587395,FY2026-Q2
5062,ActiveDisclosure,2026-06-01,New,68014.29105685215,FY2026-Q2
5208,ActiveDisclosure,2026-06-01,New,51867.511700360665,FY2026-Q2
5171,ActiveDisclosure,2026-06-01,New,79273.62076340933,FY2026-Q2
5297,ActiveDisclosure,2026-06-01,New,70923.96645760832,FY2026-Q2
5383,Arc Suite,2024-09-01,New,47514.25550279728,FY2024-Q3
5383,Arc Suite,2025-09-01,Contraction,-3545.2790462482153,FY2025-Q3
5174,Arc Suite,2024-09-01,New,91673.32181054099,FY2024-Q3
5174,Arc Suite,2025-09-01,Renewal,0.0,FY2025-Q3
5213,Arc Suite,2024-10-01,New,75129.51455472069,FY2024-Q4
5213,Arc Suite,2025-10-01,Renewal,0.0,FY2025-Q4
5213,Arc Suite,2026-05-01,Churn,-75129.51455472069,FY2026-Q2
5204,Arc Suite,2024-11-01,New,54403.97707706405,FY2024-Q4
5204,Arc Suite,2025-11-01,Renewal,0.0,FY2025-Q4
5430,Arc Suite,2024-11-01,New,31660.331990744355,FY2024-Q4
5430,Arc Suite,2025-04-01,Churn,-31660.331990744355,FY2025-Q2
5374,Arc Suite,2024-11-01,New,44914.70293730729,FY2024-Q4
5374,Arc Suite,2025-11-01,Renewal,0.0,FY2025-Q4
5374,Arc Suite,2026-03-01,Churn,-44914.70293730729,FY2026-Q1
5476,Arc Suite,2024-12-01,New,68794.6559650168,FY2024-Q4
5476,Arc Suite,2025-12-01,Renewal,0.0,FY2025-Q4
5091,Arc Suite,2024-12-01,New,55360.889366379844,FY2024-Q4
5091,Arc Suite,2025-12-01,Renewal,0.0,FY2025-Q4
5321,Arc Suite,2024-12-01,New,36285.42595194927,FY2024-Q4
5321,Arc Suite,2025-12-01,Renewal,0.0,FY2025-Q4
5366,Arc Suite,2024-12-01,New,64804.04166061716,FY2024-Q4
5366,Arc Suite,2025-12-01,Renewal,0.0,FY2025-Q4
5294,Arc Suite,2024-12-01,New,57142.64635712261,FY2024-Q4
5294,Arc Suite,2025-12-01,Renewal,0.0,FY2025-Q4
5273,Arc Suite,2024-12-01,New,52752.84707533366,FY2024-Q4
5273,Arc Suite,2025-12-01,Renewal,0.0,FY2025-Q4
5415,Arc Suite,2024-12-01,New,37591.64249922945,FY2024-Q4
5415,Arc Suite,2025-12-01,Renewal,0.0,FY2025-Q4
5269,Arc Suite,2024-12-01,New,66023.97218106917,FY2024-Q4
5269,Arc Suite,2025-12-01,Expansion,4808.1904869975715,FY2025-Q4
5279,Arc Suite,2024-12-01,New,40694.13682732002,FY2024-Q4
5279,Arc Suite,2025-11-01,Churn,-40694.13682732002,FY2025-Q4
5137,Arc Suite,2025-01-01,New,56172.28141703648,FY2025-Q1
5137,Arc Suite,2026-01-01,Renewal,0.0,FY2026-Q1
5456,Arc Suite,2025-02-01,New,80890.20437775453,FY2025-Q1
5456,Arc Suite,2026-02-01,Expansion,8710.240239136645,FY2026-Q1
5403,Arc Suite,2025-02-01,New,82400.63761097105,FY2025-Q1
5403,Arc Suite,2026-02-01,Expansion,13507.637972216333,FY2026-Q1
5425,Arc Suite,2025-02-01,New,57694.52136038603,FY2025-Q1
5425,Arc Suite,2026-02-01,Renewal,0.0,FY2026-Q1
5025,Arc Suite,2025-04-01,New,20000.0,FY2025-Q2
5025,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5167,Arc Suite,2025-04-01,New,73594.01855730756,FY2025-Q2
5167,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5475,Arc Suite,2025-04-01,New,43279.192035461354,FY2025-Q2
5475,Arc Suite,2026-04-01,Expansion,11849.267439464718,FY2026-Q2
5478,Arc Suite,2025-04-01,New,34919.29614809001,FY2025-Q2
5478,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5423,Arc Suite,2025-04-01,New,73318.6717463065,FY2025-Q2
5423,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5219,Arc Suite,2025-04-01,New,26703.867558068458,FY2025-Q2
5219,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5140,Arc Suite,2025-04-01,New,72824.47886363309,FY2025-Q2
5140,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5124,Arc Suite,2025-04-01,New,76291.45162261793,FY2025-Q2
5124,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5193,Arc Suite,2025-04-01,New,69047.73110061424,FY2025-Q2
5193,Arc Suite,2026-04-01,Expansion,4915.684803175841,FY2026-Q2
5468,Arc Suite,2025-04-01,New,63772.06301483123,FY2025-Q2
5468,Arc Suite,2026-04-01,Renewal,0.0,FY2026-Q2
5158,Arc Suite,2025-04-01,New,57980.82143671374,FY2025-Q2
5158,Arc Suite,2026-04-01,Expansion,15810.466949910515,FY2026-Q2
5357,Arc Suite,2025-05-01,New,51291.45100848334,FY2025-Q2
5357,Arc Suite,2026-05-01,Renewal,0.0,FY2026-Q2
5384,Arc Suite,2025-05-01,New,40524.42400739933,FY2025-Q2
5384,Arc Suite,2026-05-01,Renewal,0.0,FY2026-Q2
5016,Arc Suite,2025-05-01,New,102634.33795964248,FY2025-Q2
5016,Arc Suite,2026-05-01,Renewal,0.0,FY2026-Q2
5090,Arc Suite,2025-05-01,New,51997.03037112894,FY2025-Q2
5090,Arc Suite,2026-05-01,Renewal,0.0,FY2026-Q2
5434,Arc Suite,2025-05-01,New,43377.70930337152,FY2025-Q2
5434,Arc Suite,2026-05-01,Renewal,0.0,FY2026-Q2
5175,Arc Suite,2025-05-01,New,58321.502299000866,FY2025-Q2
5175,Arc Suite,2026-05-01,Renewal,0.0,FY2026-Q2
5214,Arc Suite,2025-05-01,New,70396.44335201118,FY2025-Q2
5214,Arc Suite,2026-05-01,Renewal,0.0,FY2026-Q2
5280,Arc Suite,2025-05-01,New,78373.88150563539,FY2025-Q2
5280,Arc Suite,2026-05-01,Expansion,4590.653937704302,FY2026-Q2
5237,Arc Suite,2025-05-01,New,55895.648146991545,FY2025-Q2
5237,Arc Suite,2026-05-01,Contraction,-7921.120636761601,FY2026-Q2
5319,Arc Suite,2025-06-01,New,56574.814671374865,FY2025-Q2
5319,Arc Suite,2026-06-01,Renewal,0.0,FY2026-Q2
5470,Arc Suite,2025-06-01,New,45579.13132807413,FY2025-Q2
5470,Arc Suite,2026-03-01,Churn,-45579.13132807413,FY2026-Q1
5281,Arc Suite,2025-06-01,New,55390.20157096665,FY2025-Q2
5281,Arc Suite,2026-06-01,Renewal,0.0,FY2026-Q2
5229,Arc Suite,2025-06-01,New,75575.28344968123,FY2025-Q2
5229,Arc Suite,2026-06-01,Renewal,0.0,FY2026-Q2
5331,Arc Suite,2025-07-01,New,58881.5787171418,FY2025-Q3
5225,Arc Suite,2025-08-01,New,53392.37552730359,FY2025-Q3
5462,Arc Suite,2025-08-01,New,63077.92709340879,FY2025-Q3
5404,Arc Suite,2025-09-01,New,45929.72135783843,FY2025-Q3
5079,Arc Suite,2025-10-01,New,21170.297373707806,FY2025-Q4
5263,Arc Suite,2025-11-01,New,51241.4475105246,FY2025-Q4
5099,Arc Suite,2025-12-01,New,20000.0,FY2025-Q4
5227,Arc Suite,2026-01-01,New,55239.91704151061,FY2026-Q1
5028,Arc Suite,2026-03-01,New,67407.81209708813,FY2026-Q1
5053,Arc Suite,2026-03-01,New,77776.00905401655,FY2026-Q1
5445,Arc Suite,2026-03-01,New,69538.01989984745,FY2026-Q1
5306,Arc Suite,2026-04-01,New,60653.107143412635,FY2026-Q2
5440,Arc Suite,2026-05-01,New,41537.99145616971,FY2026-Q2
5246,Arc Suite,2026-05-01,New,40221.38015813018,FY2026-Q2
5024,Arc Suite,2026-06-01,New,56219.89035307156,FY2026-Q2
5364,Arc Suite,2026-06-01,New,44429.48788733838,FY2026-Q2
5196,Arc Suite,2026-06-01,New,42680.966592155986,FY2026-Q2
5014,Arc Suite,2026-06-01,New,60803.75123099096,FY2026-Q2
5437,Arc Suite,2026-06-01,New,44669.10286668142,FY2026-Q2
