subscription_id,account_id,account_name,division,segment,region,subscription_start,subscription_end,initial_arr,current_arr,mrr,status,cohort_quarter,gross_margin_pct,months_active
20027,5183,King-Martinez,ActiveDisclosure,Large Cap Public,Texas/Central,2025-01-01,,67007.29,57997.39,4833.12,Active,FY2025-Q1,0.74,18
20028,5061,Moore-Bass,ActiveDisclosure,Large Cap Public,Midwest,2025-01-02,,70669.21,79703.91,6641.99,Active,FY2025-Q1,0.74,18
20029,5166,"Hernandez, Thompson and Boyd",ActiveDisclosure,Mid Cap Public,Midwest,2025-01-05,,88370.96,88370.96,7364.25,Active,FY2025-Q1,0.74,18
20030,5463,Anderson-Bell,ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2025-01-06,,55375.97,55375.97,4614.66,Active,FY2025-Q1,0.74,18
20031,5323,Guerrero Inc,ActiveDisclosure,Pre-IPO / Private,Texas/Central,2025-01-11,,69159.47,69159.47,5763.29,Active,FY2025-Q1,0.74,18
20032,5093,Johnson-Carlson,ActiveDisclosure,Pre-IPO / Private,Northeast,2025-01-16,,116560.83,116560.83,9713.4,Active,FY2025-Q1,0.74,18
20033,5100,"Mccall, Hanson and Alvarado",ActiveDisclosure,Large Cap Public,Northeast,2025-01-16,,76620.08,76620.08,6385.01,Active,FY2025-Q1,0.74,18
20034,5128,"Mitchell, Nelson and Flores",ActiveDisclosure,Large Cap Public,Northeast,2025-01-19,,78619.7,78619.7,6551.64,Active,FY2025-Q1,0.74,18
20035,5413,Rangel LLC,ActiveDisclosure,Large Cap Public,Midwest,2025-01-19,,77533.35,77533.35,6461.11,Active,FY2025-Q1,0.74,18
20036,5032,"Brown, Valdez and Lucas",ActiveDisclosure,Pre-IPO / Private,Northeast,2025-01-20,,30505.58,30505.58,2542.13,Active,FY2025-Q1,0.74,18
20037,5381,Collier-Gillespie,ActiveDisclosure,Pre-IPO / Private,Texas/Central,2025-01-27,,62634.02,62634.02,5219.5,Active,FY2025-Q1,0.74,18
20038,5060,Suarez LLC,ActiveDisclosure,Pre-IPO / Private,Southeast,2025-01-28,,20926.52,20926.52,1743.88,Active,FY2025-Q1,0.74,18
20039,5216,"Fernandez, Kim and George",ActiveDisclosure,Mid Cap Public,Texas/Central,2025-01-28,,86949.1,75081.59,6256.8,Active,FY2025-Q1,0.74,18
20040,5339,Gutierrez Group,ActiveDisclosure,Mid Cap Public,West,2025-01-29,,105406.26,105406.26,8783.85,Active,FY2025-Q1,0.74,18
20041,5209,"Hall, Baker and Moody",ActiveDisclosure,Mid Cap Public,Mid-Atlantic,2025-02-04,,56366.73,56366.73,4697.23,Active,FY2025-Q1,0.74,17
20042,5286,"Becker, Taylor and Davis",ActiveDisclosure,Pre-IPO / Private,Northeast,2025-02-05,2025-08-01,106796.51,0.0,0.0,Churned,FY2025-Q1,0.74,6
20043,5068,Wagner-King,ActiveDisclosure,Pre-IPO / Private,West,2025-02-06,,43324.63,38022.37,3168.53,Active,FY2025-Q1,0.74,17
20044,5271,Harvey-Allen,ActiveDisclosure,Pre-IPO / Private,Midwest,2025-02-08,,41777.45,41777.45,3481.45,Active,FY2025-Q1,0.74,17
20045,5299,Rodriguez-Hall,ActiveDisclosure,Pre-IPO / Private,Northeast,2025-02-09,,80160.1,88517.72,7376.48,Active,FY2025-Q1,0.74,17
20046,5031,Gomez-Jenkins,ActiveDisclosure,Large Cap Public,Midwest,2025-02-10,,50048.42,50048.42,4170.7,Active,FY2025-Q1,0.74,17
20047,5414,"Hale, Myers and Larson",ActiveDisclosure,Pre-IPO / Private,West,2025-02-11,,57073.77,57073.77,4756.15,Active,FY2025-Q1,0.74,17
20048,5133,Stein-Silva,ActiveDisclosure,Pre-IPO / Private,Midwest,2025-03-05,,91896.96,91896.96,7658.08,Active,FY2025-Q1,0.74,16
20049,5041,Hancock Inc,ActiveDisclosure,Mid Cap Public,West,2025-03-06,,46557.14,46557.14,3879.76,Active,FY2025-Q1,0.74,16
20050,5359,Davis PLC,ActiveDisclosure,Mid Cap Public,Southeast,2025-03-11,,61793.01,53362.92,4446.91,Active,FY2025-Q1,0.74,16
20051,5096,Scott Ltd,ActiveDisclosure,Mid Cap Public,Midwest,2025-03-16,,65421.29,65421.29,5451.77,Active,FY2025-Q1,0.74,16
20052,5474,Morgan-Lopez,ActiveDisclosure,Mid Cap Public,West,2025-03-18,,76328.04,76328.04,6360.67,Active,FY2025-Q1,0.74,16
20053,5316,"Harper, Smith and Buchanan",ActiveDisclosure,Pre-IPO / Private,Midwest,2025-03-20,,84108.28,94698.34,7891.53,Active,FY2025-Q1,0.74,16
20054,5389,Thomas and Sons,ActiveDisclosure,Large Cap Public,Texas/Central,2025-03-24,,65721.44,65721.44,5476.79,Active,FY2025-Q1,0.74,16
20055,5156,Rodriguez-Johnson,ActiveDisclosure,Large Cap Public,Midwest,2025-03-29,,41628.46,41628.46,3469.04,Active,FY2025-Q1,0.74,16
20056,5467,Carter Inc,ActiveDisclosure,Pre-IPO / Private,Northeast,2025-03-31,,90220.78,110026.75,9168.9,Active,FY2025-Q1,0.74,16
20057,5391,Thompson Ltd,ActiveDisclosure,Large Cap Public,Mid-Atlantic,2025-04-02,,131257.93,145814.34,12151.2,Active,FY2025-Q2,0.74,15
20058,5354,"Austin, Day and Johnson",ActiveDisclosure,Pre-IPO / Private,Northeast,2025-04-05,,86046.88,86046.88,7170.57,Active,FY2025-Q2,0.74,15
20059,5109,"Jackson, Miller and Robertson",ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2025-04-09,,80333.45,80333.45,6694.45,Active,FY2025-Q2,0.74,15
20060,5094,Chandler-Edwards,ActiveDisclosure,Mid Cap Public,Mid-Atlantic,2025-04-14,,59735.87,59735.87,4977.99,Active,FY2025-Q2,0.74,15
20061,5362,Frank-Bradley,ActiveDisclosure,Mid Cap Public,Northeast,2025-04-17,,62453.71,62453.71,5204.48,Active,FY2025-Q2,0.74,15
20062,5310,Crosby-Ramirez,ActiveDisclosure,Large Cap Public,Northeast,2025-04-19,,37428.5,37428.5,3119.04,Active,FY2025-Q2,0.74,15
20063,5258,"Booker, Jones and Harrington",ActiveDisclosure,Pre-IPO / Private,Southeast,2025-04-19,,81581.31,90213.3,7517.77,Active,FY2025-Q2,0.74,15
20064,5369,"Estrada, Williams and Foster",ActiveDisclosure,Large Cap Public,West,2025-04-24,,65012.68,65012.68,5417.72,Active,FY2025-Q2,0.74,15
20065,5274,Santana-Byrd,ActiveDisclosure,Mid Cap Public,Midwest,2025-04-25,,96333.91,104866.47,8738.87,Active,FY2025-Q2,0.74,15
20066,5233,"Anderson, Roberts and Gilmore",ActiveDisclosure,Mid Cap Public,Midwest,2025-04-27,,45186.12,37604.02,3133.67,Active,FY2025-Q2,0.74,15
20067,5036,Baxter Inc,ActiveDisclosure,Mid Cap Public,Midwest,2025-04-27,,98015.31,90451.09,7537.59,Active,FY2025-Q2,0.74,15
20068,5210,"Guerrero, Peck and Coleman",ActiveDisclosure,Large Cap Public,Northeast,2025-04-30,,61180.95,61180.95,5098.41,Active,FY2025-Q2,0.74,15
20069,5147,King-Miller,ActiveDisclosure,Pre-IPO / Private,Northeast,2025-05-03,,54555.42,48207.24,4017.27,Active,FY2025-Q2,0.74,14
20070,5232,Wolf-Harris,ActiveDisclosure,Large Cap Public,Texas/Central,2025-05-17,,57371.67,57371.67,4780.97,Active,FY2025-Q2,0.74,14
20071,5325,"Morris, Thompson and Williams",ActiveDisclosure,Large Cap Public,Mid-Atlantic,2025-05-19,2025-09-01,54602.36,0.0,0.0,Churned,FY2025-Q2,0.74,4
20072,5220,Johnston-Hines,ActiveDisclosure,Large Cap Public,West,2025-05-23,,22056.62,30717.07,2559.76,Active,FY2025-Q2,0.74,14
20073,5030,Lee-Davis,ActiveDisclosure,Large Cap Public,Mid-Atlantic,2025-05-27,,82065.08,82065.08,6838.76,Active,FY2025-Q2,0.74,14
20074,5007,Rodriguez-Graham,ActiveDisclosure,Mid Cap Public,Mid-Atlantic,2025-06-05,,85034.69,85034.69,7086.22,Active,FY2025-Q2,0.74,13
20075,5278,Castaneda-Rodriguez,ActiveDisclosure,Large Cap Public,West,2025-06-09,,96128.53,96128.53,8010.71,Active,FY2025-Q2,0.74,13
20076,5080,Hancock and Sons,ActiveDisclosure,Large Cap Public,Northeast,2025-06-09,,83516.07,83516.07,6959.67,Active,FY2025-Q2,0.74,13
20077,5402,"Huang, Cole and Pacheco",ActiveDisclosure,Large Cap Public,Southeast,2025-07-20,,82431.5,82431.5,6869.29,Active,FY2025-Q3,0.74,12
20078,5327,Strickland-Palmer,ActiveDisclosure,Pre-IPO / Private,Northeast,2025-07-28,,31072.96,31072.96,2589.41,Active,FY2025-Q3,0.74,12
20079,5426,"Lamb, Martin and Kim",ActiveDisclosure,Large Cap Public,Mid-Atlantic,2025-08-05,,72028.42,72028.42,6002.37,Active,FY2025-Q3,0.74,11
20080,5084,"Rodriguez, Brennan and Garrison",ActiveDisclosure,Mid Cap Public,Texas/Central,2025-08-09,,43069.07,43069.07,3589.09,Active,FY2025-Q3,0.74,11
20081,5143,"Alvarado, Miller and Patterson",ActiveDisclosure,Mid Cap Public,Texas/Central,2025-08-23,,61860.11,61860.11,5155.01,Active,FY2025-Q3,0.74,11
20082,5336,"Phillips, Wagner and Jordan",ActiveDisclosure,Large Cap Public,Southeast,2025-09-01,,98725.64,98725.64,8227.14,Active,FY2025-Q3,0.74,10
20083,5268,Howard-Jordan,ActiveDisclosure,Mid Cap Public,Mid-Atlantic,2025-09-03,,68708.83,68708.83,5725.74,Active,FY2025-Q3,0.74,10
20084,5361,Moore-Collins,ActiveDisclosure,Mid Cap Public,Midwest,2025-09-07,,20000.0,20000.0,1666.67,Active,FY2025-Q3,0.74,10
20085,5473,Paul-Kline,ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2025-09-30,,45965.29,45965.29,3830.44,Active,FY2025-Q3,0.74,10
20086,5477,Morrison-Short,ActiveDisclosure,Mid Cap Public,Texas/Central,2025-11-06,,55514.76,55514.76,4626.23,Active,FY2025-Q4,0.74,8
20087,5018,Anderson Group,ActiveDisclosure,Pre-IPO / Private,Northeast,2025-11-07,,63035.52,63035.52,5252.96,Active,FY2025-Q4,0.74,8
20088,5144,White-Green,ActiveDisclosure,Pre-IPO / Private,West,2025-11-12,,88636.52,88636.52,7386.38,Active,FY2025-Q4,0.74,8
20089,5435,Spencer-Garcia,ActiveDisclosure,Pre-IPO / Private,Texas/Central,2025-11-21,,86409.25,86409.25,7200.77,Active,FY2025-Q4,0.74,8
20090,5081,Johnson-Doyle,ActiveDisclosure,Pre-IPO / Private,Northeast,2025-11-30,,85867.27,85867.27,7155.61,Active,FY2025-Q4,0.74,8
20091,5446,Blake Group,ActiveDisclosure,Large Cap Public,Midwest,2025-12-06,,73110.75,73110.75,6092.56,Active,FY2025-Q4,0.74,7
20092,5387,"Hicks, Bullock and Bailey",ActiveDisclosure,Pre-IPO / Private,Northeast,2025-12-12,,61507.63,61507.63,5125.64,Active,FY2025-Q4,0.74,7
20093,5159,Vargas Ltd,ActiveDisclosure,Large Cap Public,Midwest,2025-12-14,,60043.13,60043.13,5003.59,Active,FY2025-Q4,0.74,7
20094,5168,Marshall-Petersen,ActiveDisclosure,Large Cap Public,Southeast,2025-12-25,,77506.53,77506.53,6458.88,Active,FY2025-Q4,0.74,7
20095,5135,Smith-Bell,ActiveDisclosure,Pre-IPO / Private,West,2025-12-26,,88547.09,88547.09,7378.92,Active,FY2025-Q4,0.74,7
20096,5452,Brown-Copeland,ActiveDisclosure,Large Cap Public,West,2025-12-30,,102157.94,102157.94,8513.16,Active,FY2025-Q4,0.74,7
20097,5092,White-Estes,ActiveDisclosure,Large Cap Public,Southeast,2026-01-07,,70059.71,70059.71,5838.31,Active,FY2026-Q1,0.74,6
20098,5301,Herman-Walker,ActiveDisclosure,Mid Cap Public,Midwest,2026-01-07,,74486.17,74486.17,6207.18,Active,FY2026-Q1,0.74,6
20099,5392,Marshall-Elliott,ActiveDisclosure,Pre-IPO / Private,West,2026-01-10,,100679.48,100679.48,8389.96,Active,FY2026-Q1,0.74,6
20100,5034,Wright and Sons,ActiveDisclosure,Mid Cap Public,Texas/Central,2026-01-19,,44088.53,44088.53,3674.04,Active,FY2026-Q1,0.74,6
20101,5184,Stewart Ltd,ActiveDisclosure,Large Cap Public,West,2026-01-25,,86065.58,86065.58,7172.13,Active,FY2026-Q1,0.74,6
20102,5355,"Gallegos, Adams and White",ActiveDisclosure,Pre-IPO / Private,Texas/Central,2026-02-02,,50665.12,50665.12,4222.09,Active,FY2026-Q1,0.74,5
20103,5337,"Wilson, Pena and Rich",ActiveDisclosure,Large Cap Public,West,2026-02-16,,103063.86,103063.86,8588.65,Active,FY2026-Q1,0.74,5
20104,5318,Jones PLC,ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2026-02-25,,98929.9,98929.9,8244.16,Active,FY2026-Q1,0.74,5
20105,5212,Jones and Sons,ActiveDisclosure,Large Cap Public,Southeast,2026-02-26,,104184.64,104184.64,8682.05,Active,FY2026-Q1,0.74,5
20106,5449,"Bentley, Lynch and Henderson",ActiveDisclosure,Mid Cap Public,West,2026-02-27,,101915.17,101915.17,8492.93,Active,FY2026-Q1,0.74,5
20107,5008,Smith-Bowen,ActiveDisclosure,Pre-IPO / Private,Northeast,2026-02-27,,86493.37,86493.37,7207.78,Active,FY2026-Q1,0.74,5
20108,5010,Harrell LLC,ActiveDisclosure,Pre-IPO / Private,West,2026-02-28,,45491.92,45491.92,3790.99,Active,FY2026-Q1,0.74,5
20109,5042,Gray Group,ActiveDisclosure,Large Cap Public,Northeast,2026-02-28,,78884.99,78884.99,6573.75,Active,FY2026-Q1,0.74,5
20110,5420,Lee-Cooke,ActiveDisclosure,Mid Cap Public,Texas/Central,2026-03-01,,87706.12,87706.12,7308.84,Active,FY2026-Q1,0.74,4
20111,5255,"Sanford, Rivera and Garcia",ActiveDisclosure,Large Cap Public,Northeast,2026-03-05,,78501.74,78501.74,6541.81,Active,FY2026-Q1,0.74,4
20112,5240,Hicks-Hill,ActiveDisclosure,Large Cap Public,Mid-Atlantic,2026-03-07,,65480.33,65480.33,5456.69,Active,FY2026-Q1,0.74,4
20113,5228,Cordova Group,ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2026-03-07,,71451.74,71451.74,5954.31,Active,FY2026-Q1,0.74,4
20114,5305,Davis PLC,ActiveDisclosure,Mid Cap Public,Northeast,2026-03-19,,76527.13,76527.13,6377.26,Active,FY2026-Q1,0.74,4
20115,5153,"Gould, Marshall and Scott",ActiveDisclosure,Mid Cap Public,West,2026-03-26,,45423.02,45423.02,3785.25,Active,FY2026-Q1,0.74,4
20116,5340,Perry-Davis,ActiveDisclosure,Large Cap Public,Mid-Atlantic,2026-03-31,,82941.14,82941.14,6911.76,Active,FY2026-Q1,0.74,4
20117,5295,"Ramsey, Whitney and Coffey",ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2026-04-02,,80208.03,80208.03,6684.0,Active,FY2026-Q2,0.74,3
20118,5451,Barnes PLC,ActiveDisclosure,Mid Cap Public,Mid-Atlantic,2026-04-07,,65102.23,65102.23,5425.19,Active,FY2026-Q2,0.74,3
20119,5349,Bell-Lane,ActiveDisclosure,Pre-IPO / Private,Texas/Central,2026-04-11,,82693.67,82693.67,6891.14,Active,FY2026-Q2,0.74,3
20120,5071,Walsh LLC,ActiveDisclosure,Mid Cap Public,Texas/Central,2026-04-13,,93600.07,93600.07,7800.01,Active,FY2026-Q2,0.74,3
20121,5285,Byrd-Le,ActiveDisclosure,Large Cap Public,West,2026-04-15,,45633.32,45633.32,3802.78,Active,FY2026-Q2,0.74,3
20122,5078,"Wright, Garcia and Deleon",ActiveDisclosure,Large Cap Public,Northeast,2026-04-17,,100354.7,100354.7,8362.89,Active,FY2026-Q2,0.74,3
20123,5126,"Ramirez, Strickland and Washington",ActiveDisclosure,Mid Cap Public,Texas/Central,2026-04-17,,90359.06,90359.06,7529.92,Active,FY2026-Q2,0.74,3
20124,5019,"Martin, Rose and Obrien",ActiveDisclosure,Mid Cap Public,Northeast,2026-04-29,,90134.43,90134.43,7511.2,Active,FY2026-Q2,0.74,3
20125,5152,Wells Inc,ActiveDisclosure,Large Cap Public,Northeast,2026-05-01,,89941.31,89941.31,7495.11,Active,FY2026-Q2,0.74,2
20126,5125,Green-Wright,ActiveDisclosure,Mid Cap Public,Midwest,2026-05-28,,83717.28,83717.28,6976.44,Active,FY2026-Q2,0.74,2
20127,5062,"Turner, Riggs and Roman",ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2026-06-03,,68014.29,68014.29,5667.86,Active,FY2026-Q2,0.74,1
20128,5208,Warner-Gibson,ActiveDisclosure,Mid Cap Public,Texas/Central,2026-06-10,,51867.51,51867.51,4322.29,Active,FY2026-Q2,0.74,1
20129,5171,Christensen PLC,ActiveDisclosure,Large Cap Public,Texas/Central,2026-06-14,,79273.62,79273.62,6606.14,Active,FY2026-Q2,0.74,1
20130,5297,"Martinez, Richardson and Curry",ActiveDisclosure,Mid Cap Public,Southeast,2026-06-14,,70923.97,70923.97,5910.33,Active,FY2026-Q2,0.74,1
20131,5383,Graham Group,Arc Suite,Fund/Asset Manager,Southeast,2024-09-24,,47514.26,43968.98,3664.08,Active,FY2024-Q3,0.71,22
20132,5174,Peterson-Beard,Arc Suite,Fund/Asset Manager,West,2024-09-30,,91673.32,91673.32,7639.44,Active,FY2024-Q3,0.71,22
20133,5213,Larson-Holloway,Arc Suite,Fund/Asset Manager,West,2024-10-17,2026-05-01,75129.51,0.0,0.0,Churned,FY2024-Q4,0.71,19
20134,5204,"Clark, Guerrero and Moore",Arc Suite,Fund/Asset Manager,Mid-Atlantic,2024-11-14,,54403.98,54403.98,4533.66,Active,FY2024-Q4,0.71,20
20135,5430,Mckee-Lee,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2024-11-14,2025-04-01,31660.33,0.0,0.0,Churned,FY2024-Q4,0.71,5
20136,5374,"Hall, Hansen and Barnett",Arc Suite,Fund/Asset Manager,Midwest,2024-11-17,2026-03-01,44914.7,0.0,0.0,Churned,FY2024-Q4,0.71,16
20137,5476,Acosta Inc,Arc Suite,Fund/Asset Manager,Texas/Central,2024-12-06,,68794.66,68794.66,5732.89,Active,FY2024-Q4,0.71,19
20138,5091,"Rivera, Johnson and Wiley",Arc Suite,Fund/Asset Manager,Texas/Central,2024-12-07,,55360.89,55360.89,4613.41,Active,FY2024-Q4,0.71,19
20139,5321,"Smith, Garrison and Thomas",Arc Suite,Fund/Asset Manager,Mid-Atlantic,2024-12-07,,36285.43,36285.43,3023.79,Active,FY2024-Q4,0.71,19
20140,5366,"Ramos, Nelson and Fischer",Arc Suite,Fund/Asset Manager,Midwest,2024-12-13,,64804.04,64804.04,5400.34,Active,FY2024-Q4,0.71,19
20141,5294,Taylor and Sons,Arc Suite,Fund/Asset Manager,West,2024-12-19,,57142.65,57142.65,4761.89,Active,FY2024-Q4,0.71,19
20142,5273,Estrada-Nolan,Arc Suite,Fund/Asset Manager,Northeast,2024-12-22,,52752.85,52752.85,4396.07,Active,FY2024-Q4,0.71,19
20143,5415,Collins Group,Arc Suite,Fund/Asset Manager,Southeast,2024-12-25,,37591.64,37591.64,3132.64,Active,FY2024-Q4,0.71,19
20144,5269,Schmidt PLC,Arc Suite,Fund/Asset Manager,Northeast,2024-12-27,,66023.97,70832.16,5902.68,Active,FY2024-Q4,0.71,19
20145,5279,Armstrong-Andrews,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2024-12-30,2025-11-01,40694.14,0.0,0.0,Churned,FY2024-Q4,0.71,11
20146,5137,Medina-Navarro,Arc Suite,Fund/Asset Manager,West,2025-01-03,,56172.28,56172.28,4681.02,Active,FY2025-Q1,0.71,18
20147,5456,"Butler, Beck and Miller",Arc Suite,Fund/Asset Manager,Midwest,2025-02-05,,80890.2,89600.44,7466.7,Active,FY2025-Q1,0.71,17
20148,5403,"Lopez, Jacobs and Mason",Arc Suite,Fund/Asset Manager,Mid-Atlantic,2025-02-12,,82400.64,95908.28,7992.36,Active,FY2025-Q1,0.71,17
20149,5425,White Ltd,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2025-02-17,,57694.52,57694.52,4807.88,Active,FY2025-Q1,0.71,17
20150,5025,"Robinson, Jones and Welch",Arc Suite,Fund/Asset Manager,Mid-Atlantic,2025-04-04,,20000.0,20000.0,1666.67,Active,FY2025-Q2,0.71,15
20151,5167,"Nelson, Morton and Medina",Arc Suite,Fund/Asset Manager,Northeast,2025-04-08,,73594.02,73594.02,6132.83,Active,FY2025-Q2,0.71,15
20152,5475,"Jimenez, Glass and Stone",Arc Suite,Fund/Asset Manager,Texas/Central,2025-04-10,,43279.19,55128.46,4594.04,Active,FY2025-Q2,0.71,15
20153,5478,"Carter, Garcia and Murphy",Arc Suite,Fund/Asset Manager,Texas/Central,2025-04-14,,34919.3,34919.3,2909.94,Active,FY2025-Q2,0.71,15
20154,5423,Stanley PLC,Arc Suite,Fund/Asset Manager,Southeast,2025-04-14,,73318.67,73318.67,6109.89,Active,FY2025-Q2,0.71,15
20155,5219,"Matthews, Smith and Hubbard",Arc Suite,Fund/Asset Manager,West,2025-04-16,,26703.87,26703.87,2225.32,Active,FY2025-Q2,0.71,15
20156,5140,"Yates, Ramsey and Pittman",Arc Suite,Fund/Asset Manager,West,2025-04-22,,72824.48,72824.48,6068.71,Active,FY2025-Q2,0.71,15
20157,5124,Manning Group,Arc Suite,Fund/Asset Manager,Texas/Central,2025-04-24,,76291.45,76291.45,6357.62,Active,FY2025-Q2,0.71,15
20158,5193,Harrison-Alexander,Arc Suite,Fund/Asset Manager,Midwest,2025-04-24,,69047.73,73963.42,6163.62,Active,FY2025-Q2,0.71,15
20159,5468,Blackwell LLC,Arc Suite,Fund/Asset Manager,Southeast,2025-04-24,,63772.06,63772.06,5314.34,Active,FY2025-Q2,0.71,15
20160,5158,Sanders-Espinoza,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2025-04-25,,57980.82,73791.29,6149.27,Active,FY2025-Q2,0.71,15
20161,5357,Kane PLC,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2025-05-03,,51291.45,51291.45,4274.29,Active,FY2025-Q2,0.71,14
20162,5384,"Miller, Harrell and Reese",Arc Suite,Fund/Asset Manager,Southeast,2025-05-08,,40524.42,40524.42,3377.04,Active,FY2025-Q2,0.71,14
20163,5016,"Arroyo, Miller and Tucker",Arc Suite,Fund/Asset Manager,Northeast,2025-05-11,,102634.34,102634.34,8552.86,Active,FY2025-Q2,0.71,14
20164,5090,May-Ross,Arc Suite,Fund/Asset Manager,Northeast,2025-05-11,,51997.03,51997.03,4333.09,Active,FY2025-Q2,0.71,14
20165,5434,"Taylor, Wright and Davidson",Arc Suite,Fund/Asset Manager,Northeast,2025-05-15,,43377.71,43377.71,3614.81,Active,FY2025-Q2,0.71,14
