month,division,channel,spend,sourced_leads,sourced_opps,sourced_wins,fiscal_quarter
2025-04-01,ActiveDisclosure,Partner / Referral,8301.12,10,4,1,FY2025-Q2
2025-04-01,ActiveDisclosure,Paid Digital,15720.57,8,0,0,FY2025-Q2
2025-05-01,ActiveDisclosure,Inbound / Content,20734.52,20,4,1,FY2025-Q2
2025-05-01,ActiveDisclosure,Outbound / SDR,31278.02,13,1,0,FY2025-Q2
2025-05-01,ActiveDisclosure,Events / Conferences,25276.04,27,8,3,FY2025-Q2
2025-05-01,ActiveDisclosure,Partner / Referral,8478.2,12,5,3,FY2025-Q2
2025-05-01,ActiveDisclosure,Paid Digital,14589.13,7,0,0,FY2025-Q2
2025-06-01,ActiveDisclosure,Inbound / Content,16422.72,12,2,0,FY2025-Q2
2025-06-01,ActiveDisclosure,Outbound / SDR,31570.88,17,2,0,FY2025-Q2
2025-06-01,ActiveDisclosure,Events / Conferences,24903.81,29,8,4,FY2025-Q2
2025-06-01,ActiveDisclosure,Partner / Referral,7304.54,9,3,1,FY2025-Q2
2025-06-01,ActiveDisclosure,Paid Digital,14451.6,6,0,0,FY2025-Q2
2025-07-01,ActiveDisclosure,Inbound / Content,18512.41,17,3,1,FY2025-Q3
2025-07-01,ActiveDisclosure,Outbound / SDR,28470.39,15,2,0,FY2025-Q3
2025-07-01,ActiveDisclosure,Events / Conferences,20903.11,20,6,2,FY2025-Q3
2025-07-01,ActiveDisclosure,Partner / Referral,8569.36,15,6,3,FY2025-Q3
2025-07-01,ActiveDisclosure,Paid Digital,13924.65,7,0,0,FY2025-Q3
2025-08-01,ActiveDisclosure,Inbound / Content,14805.63,11,2,0,FY2025-Q3
2025-08-01,ActiveDisclosure,Outbound / SDR,32356.88,16,2,0,FY2025-Q3
2025-08-01,ActiveDisclosure,Events / Conferences,21518.86,22,6,2,FY2025-Q3
2025-08-01,ActiveDisclosure,Partner / Referral,6529.94,10,4,2,FY2025-Q3
2025-08-01,ActiveDisclosure,Paid Digital,11992.25,5,0,0,FY2025-Q3
2025-09-01,ActiveDisclosure,Inbound / Content,14565.89,14,3,0,FY2025-Q3
2025-09-01,ActiveDisclosure,Outbound / SDR,26857.26,13,1,0,FY2025-Q3
2025-09-01,ActiveDisclosure,Events / Conferences,21274.97,23,6,2,FY2025-Q3
2025-09-01,ActiveDisclosure,Partner / Referral,6401.44,11,4,1,FY2025-Q3
2025-09-01,ActiveDisclosure,Paid Digital,12187.91,6,0,0,FY2025-Q3
2025-10-01,ActiveDisclosure,Inbound / Content,15052.55,13,2,0,FY2025-Q4
2025-10-01,ActiveDisclosure,Outbound / SDR,26033.22,14,2,0,FY2025-Q4
2025-10-01,ActiveDisclosure,Events / Conferences,22127.95,29,8,4,FY2025-Q4
2025-10-01,ActiveDisclosure,Partner / Referral,7905.44,13,5,3,FY2025-Q4
2025-10-01,ActiveDisclosure,Paid Digital,12074.28,4,0,0,FY2025-Q4
2025-11-01,ActiveDisclosure,Inbound / Content,15480.99,15,3,0,FY2025-Q4
2025-11-01,ActiveDisclosure,Outbound / SDR,34271.0,16,2,0,FY2025-Q4
2025-11-01,ActiveDisclosure,Events / Conferences,21784.94,28,8,3,FY2025-Q4
2025-11-01,ActiveDisclosure,Partner / Referral,7920.87,13,5,2,FY2025-Q4
2025-11-01,ActiveDisclosure,Paid Digital,12135.55,6,0,0,FY2025-Q4
2025-12-01,ActiveDisclosure,Inbound / Content,16027.48,12,2,0,FY2025-Q4
2025-12-01,ActiveDisclosure,Outbound / SDR,29203.31,17,2,0,FY2025-Q4
2025-12-01,ActiveDisclosure,Events / Conferences,22402.44,20,6,2,FY2025-Q4
2025-12-01,ActiveDisclosure,Partner / Referral,8990.5,13,5,2,FY2025-Q4
2025-12-01,ActiveDisclosure,Paid Digital,15389.18,7,0,0,FY2025-Q4
2026-01-01,ActiveDisclosure,Inbound / Content,16986.24,17,3,1,FY2026-Q1
2026-01-01,ActiveDisclosure,Outbound / SDR,36702.87,17,2,0,FY2026-Q1
2026-01-01,ActiveDisclosure,Events / Conferences,21645.34,27,8,4,FY2026-Q1
2026-01-01,ActiveDisclosure,Partner / Referral,7695.74,11,4,2,FY2026-Q1
2026-01-01,ActiveDisclosure,Paid Digital,16619.88,6,0,0,FY2026-Q1
2026-02-01,ActiveDisclosure,Inbound / Content,19590.62,15,3,1,FY2026-Q1
2026-02-01,ActiveDisclosure,Outbound / SDR,31692.86,18,2,0,FY2026-Q1
2026-02-01,ActiveDisclosure,Events / Conferences,23814.7,25,7,2,FY2026-Q1
2026-02-01,ActiveDisclosure,Partner / Referral,9576.3,17,7,2,FY2026-Q1
2026-02-01,ActiveDisclosure,Paid Digital,17117.9,6,0,0,FY2026-Q1
2026-03-01,ActiveDisclosure,Inbound / Content,18662.09,16,3,1,FY2026-Q1
2026-03-01,ActiveDisclosure,Outbound / SDR,38225.61,19,2,0,FY2026-Q1
2026-03-01,ActiveDisclosure,Events / Conferences,25752.72,32,9,3,FY2026-Q1
2026-03-01,ActiveDisclosure,Partner / Referral,8115.4,13,5,2,FY2026-Q1
2026-03-01,ActiveDisclosure,Paid Digital,14582.28,5,0,0,FY2026-Q1
2026-04-01,ActiveDisclosure,Inbound / Content,17632.61,14,3,0,FY2026-Q2
2026-04-01,ActiveDisclosure,Outbound / SDR,33709.55,19,2,0,FY2026-Q2
2026-04-01,ActiveDisclosure,Events / Conferences,23247.88,24,7,3,FY2026-Q2
2026-04-01,ActiveDisclosure,Partner / Referral,8273.28,12,5,1,FY2026-Q2
2026-04-01,ActiveDisclosure,Paid Digital,15256.3,5,0,0,FY2026-Q2
2026-05-01,ActiveDisclosure,Inbound / Content,17293.01,18,3,0,FY2026-Q2
2026-05-01,ActiveDisclosure,Outbound / SDR,35172.62,14,2,0,FY2026-Q2
2026-05-01,ActiveDisclosure,Events / Conferences,25326.37,25,7,3,FY2026-Q2
2026-05-01,ActiveDisclosure,Partner / Referral,8485.11,10,4,1,FY2026-Q2
2026-05-01,ActiveDisclosure,Paid Digital,14797.69,7,0,0,FY2026-Q2
2026-06-01,ActiveDisclosure,Inbound / Content,16754.71,14,3,1,FY2026-Q2
2026-06-01,ActiveDisclosure,Outbound / SDR,34697.72,18,2,0,FY2026-Q2
2026-06-01,ActiveDisclosure,Events / Conferences,23016.21,29,8,3,FY2026-Q2
2026-06-01,ActiveDisclosure,Partner / Referral,8300.42,14,5,1,FY2026-Q2
2026-06-01,ActiveDisclosure,Paid Digital,12705.02,6,0,0,FY2026-Q2
2024-07-01,Arc Suite,Inbound / Content,14832.54,12,2,0,FY2024-Q3
2024-07-01,Arc Suite,Outbound / SDR,27344.56,12,1,0,FY2024-Q3
2024-07-01,Arc Suite,Events / Conferences,19145.17,25,7,2,FY2024-Q3
2024-07-01,Arc Suite,Partner / Referral,6394.09,9,3,1,FY2024-Q3
2024-07-01,Arc Suite,Paid Digital,11592.2,5,0,0,FY2024-Q3
2024-08-01,Arc Suite,Inbound / Content,15224.18,14,3,1,FY2024-Q3
2024-08-01,Arc Suite,Outbound / SDR,25425.18,13,1,0,FY2024-Q3
2024-08-01,Arc Suite,Events / Conferences,15220.29,19,5,1,FY2024-Q3
2024-08-01,Arc Suite,Partner / Referral,6063.92,9,3,1,FY2024-Q3
2024-08-01,Arc Suite,Paid Digital,11292.68,5,0,0,FY2024-Q3
2024-09-01,Arc Suite,Inbound / Content,14380.05,12,2,0,FY2024-Q3
2024-09-01,Arc Suite,Outbound / SDR,27246.11,12,1,0,FY2024-Q3
2024-09-01,Arc Suite,Events / Conferences,17391.17,17,5,2,FY2024-Q3
2024-09-01,Arc Suite,Partner / Referral,6537.17,9,3,1,FY2024-Q3
2024-09-01,Arc Suite,Paid Digital,11091.55,4,0,0,FY2024-Q3
2024-10-01,Arc Suite,Inbound / Content,13008.68,12,2,0,FY2024-Q4
2024-10-01,Arc Suite,Outbound / SDR,26373.6,13,1,0,FY2024-Q4
2024-10-01,Arc Suite,Events / Conferences,14806.64,18,5,1,FY2024-Q4
2024-10-01,Arc Suite,Partner / Referral,5951.12,8,3,1,FY2024-Q4
2024-10-01,Arc Suite,Paid Digital,9936.09,5,0,0,FY2024-Q4
2024-11-01,Arc Suite,Inbound / Content,15452.3,11,2,0,FY2024-Q4
2024-11-01,Arc Suite,Outbound / SDR,27047.52,16,2,0,FY2024-Q4
2024-11-01,Arc Suite,Events / Conferences,16605.42,18,5,1,FY2024-Q4
2024-11-01,Arc Suite,Partner / Referral,5888.1,10,4,2,FY2024-Q4
2024-11-01,Arc Suite,Paid Digital,10638.4,4,0,0,FY2024-Q4
2024-12-01,Arc Suite,Inbound / Content,15825.94,13,2,0,FY2024-Q4
2024-12-01,Arc Suite,Outbound / SDR,24420.55,11,1,0,FY2024-Q4
2024-12-01,Arc Suite,Events / Conferences,20510.47,23,6,3,FY2024-Q4
2024-12-01,Arc Suite,Partner / Referral,6120.39,11,4,2,FY2024-Q4
2024-12-01,Arc Suite,Paid Digital,12974.65,6,0,0,FY2024-Q4
2025-01-01,Arc Suite,Inbound / Content,14909.1,15,3,1,FY2025-Q1
2025-01-01,Arc Suite,Outbound / SDR,29848.17,17,2,0,FY2025-Q1
2025-01-01,Arc Suite,Events / Conferences,22561.06,30,9,4,FY2025-Q1
2025-01-01,Arc Suite,Partner / Referral,6808.27,8,3,1,FY2025-Q1
2025-01-01,Arc Suite,Paid Digital,14098.07,7,0,0,FY2025-Q1
2025-02-01,Arc Suite,Inbound / Content,16418.6,14,3,1,FY2025-Q1
2025-02-01,Arc Suite,Outbound / SDR,33591.61,16,2,0,FY2025-Q1
2025-02-01,Arc Suite,Events / Conferences,20645.9,24,7,2,FY2025-Q1
2025-02-01,Arc Suite,Partner / Referral,8287.39,11,4,2,FY2025-Q1
2025-02-01,Arc Suite,Paid Digital,14182.53,5,0,0,FY2025-Q1
2025-03-01,Arc Suite,Inbound / Content,19523.99,20,4,1,FY2025-Q1
2025-03-01,Arc Suite,Outbound / SDR,28199.86,12,1,0,FY2025-Q1
2025-03-01,Arc Suite,Events / Conferences,21890.88,24,7,2,FY2025-Q1
2025-03-01,Arc Suite,Partner / Referral,7314.56,9,3,1,FY2025-Q1
2025-03-01,Arc Suite,Paid Digital,12636.72,4,0,0,FY2025-Q1
2025-04-01,Arc Suite,Inbound / Content,15327.41,15,3,0,FY2025-Q2
2025-04-01,Arc Suite,Outbound / SDR,27548.35,12,1,0,FY2025-Q2
2025-04-01,Arc Suite,Events / Conferences,21453.4,27,8,4,FY2025-Q2
2025-04-01,Arc Suite,Partner / Referral,8329.36,13,5,2,FY2025-Q2
2025-04-01,Arc Suite,Paid Digital,13474.18,5,0,0,FY2025-Q2
2025-05-01,Arc Suite,Inbound / Content,16481.92,12,2,0,FY2025-Q2
2025-05-01,Arc Suite,Outbound / SDR,29188.49,16,2,0,FY2025-Q2
2025-05-01,Arc Suite,Events / Conferences,18271.98,20,6,2,FY2025-Q2
2025-05-01,Arc Suite,Partner / Referral,7564.97,13,5,3,FY2025-Q2
2025-05-01,Arc Suite,Paid Digital,13401.5,6,0,0,FY2025-Q2
2025-06-01,Arc Suite,Inbound / Content,15664.79,15,3,0,FY2025-Q2
2025-06-01,Arc Suite,Outbound / SDR,30187.41,14,2,0,FY2025-Q2
2025-06-01,Arc Suite,Events / Conferences,20526.86,24,7,3,FY2025-Q2
2025-06-01,Arc Suite,Partner / Referral,7465.57,10,4,2,FY2025-Q2
2025-06-01,Arc Suite,Paid Digital,12124.29,5,0,0,FY2025-Q2
2025-07-01,Arc Suite,Inbound / Content,13151.25,10,2,0,FY2025-Q3
2025-07-01,Arc Suite,Outbound / SDR,22919.13,12,1,0,FY2025-Q3
2025-07-01,Arc Suite,Events / Conferences,16031.12,18,5,1,FY2025-Q3
2025-07-01,Arc Suite,Partner / Referral,6695.63,11,4,2,FY2025-Q3
2025-07-01,Arc Suite,Paid Digital,11616.0,6,0,0,FY2025-Q3
2025-08-01,Arc Suite,Inbound / Content,15153.28,11,2,0,FY2025-Q3
2025-08-01,Arc Suite,Outbound / SDR,26568.73,13,1,0,FY2025-Q3
2025-08-01,Arc Suite,Events / Conferences,18245.64,18,5,2,FY2025-Q3
2025-08-01,Arc Suite,Partner / Referral,5794.71,7,2,0,FY2025-Q3
2025-08-01,Arc Suite,Paid Digital,11448.96,4,0,0,FY2025-Q3
2025-09-01,Arc Suite,Inbound / Content,14958.59,15,3,1,FY2025-Q3
2025-09-01,Arc Suite,Outbound / SDR,26374.66,12,1,0,FY2025-Q3
2025-09-01,Arc Suite,Events / Conferences,18201.22,24,7,2,FY2025-Q3
2025-09-01,Arc Suite,Partner / Referral,6714.5,10,4,2,FY2025-Q3
2025-09-01,Arc Suite,Paid Digital,10534.53,5,0,0,FY2025-Q3
2025-10-01,Arc Suite,Inbound / Content,12337.53,11,2,0,FY2025-Q4
2025-10-01,Arc Suite,Outbound / SDR,24854.53,13,1,0,FY2025-Q4
2025-10-01,Arc Suite,Events / Conferences,18813.39,21,6,1,FY2025-Q4
2025-10-01,Arc Suite,Partner / Referral,6935.18,8,3,1,FY2025-Q4
2025-10-01,Arc Suite,Paid Digital,10644.15,4,0,0,FY2025-Q4
2025-11-01,Arc Suite,Inbound / Content,14229.88,10,2,0,FY2025-Q4
2025-11-01,Arc Suite,Outbound / SDR,27138.78,15,2,0,FY2025-Q4
2025-11-01,Arc Suite,Events / Conferences,19202.83,24,7,2,FY2025-Q4
2025-11-01,Arc Suite,Partner / Referral,7248.55,12,5,2,FY2025-Q4
2025-11-01,Arc Suite,Paid Digital,12175.25,5,0,0,FY2025-Q4
2025-12-01,Arc Suite,Inbound / Content,14328.46,10,2,0,FY2025-Q4
2025-12-01,Arc Suite,Outbound / SDR,28620.8,14,2,0,FY2025-Q4
2025-12-01,Arc Suite,Events / Conferences,18202.81,20,6,2,FY2025-Q4
2025-12-01,Arc Suite,Partner / Referral,6786.73,9,3,1,FY2025-Q4
2025-12-01,Arc Suite,Paid Digital,13068.88,5,0,0,FY2025-Q4
2026-01-01,Arc Suite,Inbound / Content,18239.19,16,3,0,FY2026-Q1
2026-01-01,Arc Suite,Outbound / SDR,30183.18,13,1,0,FY2026-Q1
2026-01-01,Arc Suite,Events / Conferences,21614.32,25,7,3,FY2026-Q1
2026-01-01,Arc Suite,Partner / Referral,6646.92,8,3,1,FY2026-Q1
2026-01-01,Arc Suite,Paid Digital,11414.1,5,0,0,FY2026-Q1
2026-02-01,Arc Suite,Inbound / Content,14869.07,12,2,0,FY2026-Q1
2026-02-01,Arc Suite,Outbound / SDR,31737.03,17,2,0,FY2026-Q1
2026-02-01,Arc Suite,Events / Conferences,18810.05,20,6,2,FY2026-Q1
2026-02-01,Arc Suite,Partner / Referral,8220.39,10,4,1,FY2026-Q1
2026-02-01,Arc Suite,Paid Digital,13220.9,4,0,0,FY2026-Q1
2026-03-01,Arc Suite,Inbound / Content,19472.11,19,4,1,FY2026-Q1
2026-03-01,Arc Suite,Outbound / SDR,30240.24,14,2,0,FY2026-Q1
2026-03-01,Arc Suite,Events / Conferences,23136.7,27,8,4,FY2026-Q1
2026-03-01,Arc Suite,Partner / Referral,8316.61,12,5,2,FY2026-Q1
2026-03-01,Arc Suite,Paid Digital,13535.19,6,0,0,FY2026-Q1
2026-04-01,Arc Suite,Inbound / Content,16039.32,16,3,1,FY2026-Q2
2026-04-01,Arc Suite,Outbound / SDR,31312.1,16,2,0,FY2026-Q2
2026-04-01,Arc Suite,Events / Conferences,21930.45,25,7,3,FY2026-Q2
2026-04-01,Arc Suite,Partner / Referral,8540.41,12,5,2,FY2026-Q2
2026-04-01,Arc Suite,Paid Digital,13994.89,7,0,0,FY2026-Q2
2026-05-01,Arc Suite,Inbound / Content,17423.22,13,2,0,FY2026-Q2
2026-05-01,Arc Suite,Outbound / SDR,28138.72,14,2,0,FY2026-Q2
2026-05-01,Arc Suite,Events / Conferences,21279.94,19,5,1,FY2026-Q2
2026-05-01,Arc Suite,Partner / Referral,7396.96,12,5,2,FY2026-Q2
2026-05-01,Arc Suite,Paid Digital,12720.41,5,0,0,FY2026-Q2
2026-06-01,Arc Suite,Inbound / Content,16819.9,12,2,0,FY2026-Q2
2026-06-01,Arc Suite,Outbound / SDR,26140.77,15,2,0,FY2026-Q2
2026-06-01,Arc Suite,Events / Conferences,16470.9,19,5,1,FY2026-Q2
2026-06-01,Arc Suite,Partner / Referral,6339.98,10,4,1,FY2026-Q2
2026-06-01,Arc Suite,Paid Digital,13167.6,5,0,0,FY2026-Q2
2024-07-01,Venue,Inbound / Content,12357.92,12,2,0,FY2024-Q3
2024-07-01,Venue,Outbound / SDR,21558.51,12,1,0,FY2024-Q3
2024-07-01,Venue,Events / Conferences,14183.41,18,5,2,FY2024-Q3
2024-07-01,Venue,Partner / Referral,5946.98,10,4,2,FY2024-Q3
2024-07-01,Venue,Paid Digital,10993.43,4,0,0,FY2024-Q3
2024-08-01,Venue,Inbound / Content,12819.1,12,2,0,FY2024-Q3
2024-08-01,Venue,Outbound / SDR,21436.68,11,1,0,FY2024-Q3
2024-08-01,Venue,Events / Conferences,15263.37,14,4,2,FY2024-Q3
2024-08-01,Venue,Partner / Referral,5083.95,8,3,1,FY2024-Q3
2024-08-01,Venue,Paid Digital,9410.74,4,0,0,FY2024-Q3
2024-09-01,Venue,Inbound / Content,12519.02,12,2,0,FY2024-Q3
2024-09-01,Venue,Outbound / SDR,23545.3,10,1,0,FY2024-Q3
2024-09-01,Venue,Events / Conferences,15434.33,20,6,2,FY2024-Q3
2024-09-01,Venue,Partner / Referral,5379.04,6,2,0,FY2024-Q3
2024-09-01,Venue,Paid Digital,10317.06,4,0,0,FY2024-Q3
2024-10-01,Venue,Inbound / Content,12120.83,9,1,0,FY2024-Q4
2024-10-01,Venue,Outbound / SDR,21795.34,10,1,0,FY2024-Q4
2024-10-01,Venue,Events / Conferences,14428.77,14,4,1,FY2024-Q4
2024-10-01,Venue,Partner / Referral,5494.1,9,3,1,FY2024-Q4
2024-10-01,Venue,Paid Digital,8346.66,4,0,0,FY2024-Q4
2024-11-01,Venue,Inbound / Content,14025.66,13,2,0,FY2024-Q4
2024-11-01,Venue,Outbound / SDR,21262.93,9,1,0,FY2024-Q4
2024-11-01,Venue,Events / Conferences,16886.24,21,6,2,FY2024-Q4
2024-11-01,Venue,Partner / Referral,5743.44,7,2,0,FY2024-Q4
2024-11-01,Venue,Paid Digital,10291.19,4,0,0,FY2024-Q4
2024-12-01,Venue,Inbound / Content,12761.02,10,2,0,FY2024-Q4
2024-12-01,Venue,Outbound / SDR,25950.43,10,1,0,FY2024-Q4
2024-12-01,Venue,Events / Conferences,17290.67,19,5,1,FY2024-Q4
2024-12-01,Venue,Partner / Referral,5415.23,6,2,1,FY2024-Q4
2024-12-01,Venue,Paid Digital,11534.34,4,0,0,FY2024-Q4
2025-01-01,Venue,Inbound / Content,14354.16,12,2,0,FY2025-Q1
2025-01-01,Venue,Outbound / SDR,22867.78,10,1,0,FY2025-Q1
2025-01-01,Venue,Events / Conferences,16536.67,22,6,3,FY2025-Q1
2025-01-01,Venue,Partner / Referral,6379.06,11,4,1,FY2025-Q1
2025-01-01,Venue,Paid Digital,10979.27,4,0,0,FY2025-Q1
2025-02-01,Venue,Inbound / Content,15878.44,11,2,0,FY2025-Q1
2025-02-01,Venue,Outbound / SDR,26857.76,13,1,0,FY2025-Q1
2025-02-01,Venue,Events / Conferences,20461.63,22,6,2,FY2025-Q1
2025-02-01,Venue,Partner / Referral,6140.74,8,3,1,FY2025-Q1
2025-02-01,Venue,Paid Digital,10651.69,5,0,0,FY2025-Q1
2025-03-01,Venue,Inbound / Content,14871.51,12,2,0,FY2025-Q1
2025-03-01,Venue,Outbound / SDR,28439.99,15,2,0,FY2025-Q1
2025-03-01,Venue,Events / Conferences,20452.75,21,6,2,FY2025-Q1
2025-03-01,Venue,Partner / Referral,6361.2,10,4,1,FY2025-Q1
2025-03-01,Venue,Paid Digital,12768.24,6,0,0,FY2025-Q1
2025-04-01,Venue,Inbound / Content,13584.84,11,2,0,FY2025-Q2
2025-04-01,Venue,Outbound / SDR,29716.25,17,2,0,FY2025-Q2
2025-04-01,Venue,Events / Conferences,20171.98,25,7,3,FY2025-Q2
2025-04-01,Venue,Partner / Referral,5958.98,8,3,1,FY2025-Q2
2025-04-01,Venue,Paid Digital,12834.14,4,0,0,FY2025-Q2
2025-05-01,Venue,Inbound / Content,12791.37,10,2,0,FY2025-Q2
2025-05-01,Venue,Outbound / SDR,28222.06,14,2,0,FY2025-Q2
2025-05-01,Venue,Events / Conferences,19773.46,20,6,2,FY2025-Q2
2025-05-01,Venue,Partner / Referral,6136.03,8,3,1,FY2025-Q2
2025-05-01,Venue,Paid Digital,10645.0,4,0,0,FY2025-Q2
2025-06-01,Venue,Inbound / Content,12897.48,9,1,0,FY2025-Q2
2025-06-01,Venue,Outbound / SDR,23453.79,11,1,0,FY2025-Q2
2025-06-01,Venue,Events / Conferences,17959.48,18,5,2,FY2025-Q2
2025-06-01,Venue,Partner / Referral,6134.26,10,4,2,FY2025-Q2
2025-06-01,Venue,Paid Digital,11745.3,4,0,0,FY2025-Q2
2025-07-01,Venue,Inbound / Content,13314.37,12,2,0,FY2025-Q3
2025-07-01,Venue,Outbound / SDR,24729.16,14,2,0,FY2025-Q3
2025-07-01,Venue,Events / Conferences,13748.75,12,3,1,FY2025-Q3
2025-07-01,Venue,Partner / Referral,6155.33,10,4,1,FY2025-Q3
2025-07-01,Venue,Paid Digital,9066.71,4,0,0,FY2025-Q3
2025-08-01,Venue,Inbound / Content,10812.85,8,1,0,FY2025-Q3
2025-08-01,Venue,Outbound / SDR,23685.84,10,1,0,FY2025-Q3
2025-08-01,Venue,Events / Conferences,15824.42,16,4,1,FY2025-Q3
2025-08-01,Venue,Partner / Referral,5502.56,6,2,1,FY2025-Q3
2025-08-01,Venue,Paid Digital,10524.43,4,0,0,FY2025-Q3
2025-09-01,Venue,Inbound / Content,11025.8,9,1,0,FY2025-Q3
2025-09-01,Venue,Outbound / SDR,23426.92,11,1,0,FY2025-Q3
2025-09-01,Venue,Events / Conferences,14721.72,19,5,2,FY2025-Q3
2025-09-01,Venue,Partner / Referral,5279.9,8,3,1,FY2025-Q3
2025-09-01,Venue,Paid Digital,9887.3,3,0,0,FY2025-Q3
2025-10-01,Venue,Inbound / Content,11068.82,8,1,0,FY2025-Q4
2025-10-01,Venue,Outbound / SDR,21614.72,11,1,0,FY2025-Q4
2025-10-01,Venue,Events / Conferences,16004.18,18,5,1,FY2025-Q4
2025-10-01,Venue,Partner / Referral,4986.34,6,2,1,FY2025-Q4
2025-10-01,Venue,Paid Digital,9497.94,3,0,0,FY2025-Q4
2025-11-01,Venue,Inbound / Content,14189.24,12,2,0,FY2025-Q4
2025-11-01,Venue,Outbound / SDR,24513.61,13,1,0,FY2025-Q4
2025-11-01,Venue,Events / Conferences,14726.36,15,4,1,FY2025-Q4
2025-11-01,Venue,Partner / Referral,5945.63,9,3,1,FY2025-Q4
2025-11-01,Venue,Paid Digital,9575.66,4,0,0,FY2025-Q4
2025-12-01,Venue,Inbound / Content,14281.1,13,2,0,FY2025-Q4
2025-12-01,Venue,Outbound / SDR,26759.31,15,2,0,FY2025-Q4
2025-12-01,Venue,Events / Conferences,17799.79,18,5,1,FY2025-Q4
2025-12-01,Venue,Partner / Referral,5450.53,9,3,1,FY2025-Q4
